N,Titulo,link
54,ESTUDIAR INGENIERÍA ELECTRÓNICA: 50 VERDADES SOBRE ESTUDIAR INGENIERÍA ELECTRÓNICA,https://youtu.be/uhzWCKjNGEc
55,Esto es LO QUE SÉ DE MI MADRE BIOLÓGICA | Mauricio Ochmann | La entrevista con Yordi Rosado,https://www.youtube.com/watch?v=VBHQvVGbocE&list=RDCMUCpYlZ6IrsXW_OBrt5ugKkmA&index=3
56,Generando FLORES realistas con IA - Pix2Pix | IA NOTEBOOK #5,https://youtu.be/YsrMGcgfETY
57,Daddy Yankee decide contarlo TODO en su ultima entrevista antes de su retiro,https://youtu.be/8qj-hHvGZpU
58,MI VIDA COMO LA REINA DEL PACÍFICO | Sandra Ávila # 132,https://youtu.be/Sv-dfc10igM
59,ME INTERCEPTARON en una CARRETERA | Mauricio Ochmann | La entrevista con Yordi Rosado,https://youtu.be/X0Q7Ame3IcA
60,RABIA “Me pusieron cachos” yokoikenji,https://youtu.be/49GOUs5epPc
61,Marko y Molusco le cantan la realidad a los que quieren ser “Influencers” y crear contenido,https://youtu.be/3CSLSVvm8jQ
62,"V. Completa. Todo lo que siempre quisiste preguntar a un psicólogo. Roberto Colom, psicólogo",https://youtu.be/ROax8vdhuEQ
63,"¿Qué produces cuando te hieren? IRA, DESEO DE VENGANZA Padre Angel Espinosa",https://youtu.be/jjUSx0JZchE
64,¡Visita al LABORATORIO de GRAFENO de IBM!,https://www.youtube.com/watch?v=em6eNugcDYA
65,Estratek | 5 consejos para tener empleados felices y productivos,https://www.youtube.com/watch?v=hu7VTP2_T28
66,¿Cuál es tu debilidad? - Episodio 41 | CONSIGUE TU TRABAJO,https://www.youtube.com/watch?v=D6LIcP-Nr5U
67,Testimonio impactante de una madre y su hijo,https://youtu.be/9FuA3knM-fQ
68,"""Honra a tu Padre y a tu Madre"" - Hno. Florencio Garcia",https://www.youtube.com/watch?v=GTUpQWQGu3s
69,"MARÍA ANTONIETA DE LAS NIEVES, SECRETOS detrás de ""LA CHILINDRINA"" | La entrevista con Yordi Rosado",https://youtu.be/ITQ45VsLsLg
70,"Entrevista exclusiva a Nicolás Escobar: Mi tío, Pablo , se suicidó .",https://youtu.be/1xnLZYOEZbQ
71,Como organizar una empresa,https://www.youtube.com/watch?v=nbKb35BnAEg
72,Entrevista a un Ingeniero en Sistemas,https://www.youtube.com/watch?v=jhtHpgtYVTE
73,CALENTAMIENTO POR INDUCCIÓN | PROYECTO INTEGRADOR CIRCUITOS,https://www.youtube.com/watch?v=IA9DhfIP5TY
74,"Shakira a JUICIO, PRISION, deuda MILLONARIA en España",https://www.youtube.com/watch?v=TtTPY0SO3ZA
75,"Entrevista con Luis Carlos Sarmiento Angulo, empresario colombiano | Semana Noticias",https://www.youtube.com/watch?v=e2GcOWtHet8
76,Luis Carlos Sarmiento y el día que el Chirajara se derrumbó: esta es la historia | Videos Semana,https://www.youtube.com/watch?v=f3yutPE7Vj8
77,"“Si Petro gana en 2022, bienvenidos los colombianos”: expresidente de Panamá | Semana Noticias",https://www.youtube.com/watch?v=6jnvN16n6CY
78,Jaime Bayly entrevista al cantante colombiano Silvestre Dangond,https://youtu.be/Y_8-FYyovCE
79,Jaime Bayly entrevista al expresidente de Colombia Álvaro Uribe. 2/3,https://youtu.be/bRPsPaEebJs
80,Ella y El El Matrimonio - Dante Gebel,https://www.youtube.com/watch?v=ZnsjPeAJqe4
81,La entrevista de José - URUGUAY,https://www.youtube.com/watch?v=t2ar6XIcVgs
82,El mensaje de Mujica a los jóvenes tras dejar la política,https://www.youtube.com/watch?v=jdQIw0rBuH4
83,Las mejores frases de Aznar contra Rufián y Pablo Iglesias,https://www.youtube.com/watch?v=mdGiQDrH2p4
84,"“Es un fanfarrón, presumido e ignorante”: Vicente Fox sobre Donald Trump",https://www.youtube.com/watch?v=bboQ0Qp1XHY
85,La expareja del presidente Peña Nieto - Al Punto,https://www.youtube.com/watch?v=lO2yO9LwKaI
86,Discurso de niña indígena en la @CEENLMX Natalia López López | Versión Completa,https://www.youtube.com/watch?v=iMRrphQDlDw
87,"Bauman, Zygmunt 2007, Los retos de la Educación en la Modernidad Liquida",https://www.youtube.com/watch?v=0-jC68LBHik
88,Entrevista al teólogo Juan José Tamayo en ‘El Intermedio’,https://www.youtube.com/watch?v=0Bx6fwHng34
89,Diferencias entre capitalismo y comunismo,https://www.youtube.com/watch?v=eORgV7GM-70
90,"Madrid recurrirá el plan de ahorro energético ""si no es constitucional""",https://www.youtube.com/watch?v=66hyYtkG3HA
91,"""Cómo funciona el capitalismo"" (Documental que revela sus leyes internas, no sus síntomas)",https://www.youtube.com/watch?v=p0T97UtCkig
92,Estructura del proceso penal (parte 2),https://www.youtube.com/watch?v=stVx2hrxDnQ
93,Escuelas económicas según Ha- Joon Chang,https://www.youtube.com/watch?v=0QW3zrHZ0s4
94,¿Qué es el talento?,https://www.youtube.com/watch?v=ZpGmkFbQUF4
95,"Joan Tardà declara como testigo en el juicio al procés (27/02/2019, COMPLETA)",https://www.youtube.com/watch?v=CNmgqGl2o6c
96,"Ada Colau declara en el juicio al procés (28/02/19, COMPLETO)",https://www.youtube.com/watch?v=gr1Yk9vmHmA
97,El zasca de Jordi Sànchez al fiscal a cuenta de los watsaps a Marchena,https://www.youtube.com/watch?v=GeuHxOHSv30
98,Entrevista a juan Manuel Santos,https://www.youtube.com/watch?v=8q0Y4VWyQ7g
99,"Juan Manuel Santos: ""Este Gobierno ha sido hostil""",https://www.youtube.com/watch?v=4AHJJL6hWTI
100,Entrevista con el saliente presidente Iván Duque: ¿cómo deja a Colombia? | Semana Noticias,https://www.youtube.com/watch?v=7rFm5695q3o
101,Greeicy y Mike Bahia estuvieron a punto de dejarse poco antes de quedar embarazada,https://www.youtube.com/watch?v=7rk28lobBO0
102,LA MEJOR ENTREVISTA QUE VERÁS DE KAROL G (Confesiones Reveladoras),https://www.youtube.com/watch?v=zOaSQmKCl7Q
103,Mario Mendoza en #ElPodcast de Alejandro Marín [Episodio 20 - Temporada 3],https://www.youtube.com/watch?v=ziX9j6hnZOM
104,Diana Uribe | #ElPodcast con Alejandro Marín,https://www.youtube.com/watch?v=FO4hEZaolKs
105,Hernán Peláez | #ElPodcast con Alejandro Marín,https://www.youtube.com/watch?v=XJshkQawSQs
106,Fernán Martínez | [Episodio 14],https://www.youtube.com/watch?v=bOH6Flp6doI
107,María Elvira Arango | [Episodio 33],https://www.youtube.com/watch?v=dBcZ2Yxl51w
108,Alexander Torrenegra | [Episodio 22 - Temporada 2],https://www.youtube.com/watch?v=vjdXhzkgHdo
109,Alexander Torrenegra 🏅 | El FUTURO del trabajo 🚀| MEDMI,https://www.youtube.com/watch?v=dZKWOiHiGnI
110,Falcao García en entrevista exclusiva con Caracol Radio,https://www.youtube.com/watch?v=u4jm3rgmLcY
111,ENTREVISTA a MESSI. Sigue DOLIDO. Habla de su FRICCIÓN con Laporta. Va por la CHAMPIONS con el PSG,https://www.youtube.com/watch?v=8g_ih-L8xuQ
112,Sylvia Constaín | [Episodio 34],https://www.youtube.com/watch?v=C4047PODxUg
113,Sofía Gómez | #ElPodcast con Alejandro Marín,https://www.youtube.com/watch?v=5z9xNQaa5EA
114,Iván Lalinde revela detalles inéditos de su polémica salida de RCN,https://www.youtube.com/watch?v=nSzZsBUDJUU
115,Simona Sánchez en #ElPodcast de Alejandro Marín [Episodio 39 - Temporada 3],https://www.youtube.com/watch?v=xxJyf2koEzQ
116,Anuel: Las Leyendas Nunca Mueren será el mejor álbum de mi carrera,https://www.youtube.com/watch?v=WuoPNAnGd94&list=RDCMUCBfg3Yc_8iIJ0e0MeMKg2Bw&start_radio=1&rv=WuoPNAnGd94&t=26
117,"Cosculluela: Lo que jamás dijo de la TIRAERA con Ñengo, Tempo y Residente",https://www.youtube.com/watch?v=vSsDxcj-AHc&list=RDCMUCBfg3Yc_8iIJ0e0MeMKg2Bw&index=2
118,Anuel y Ozuna: La entrevista más reveladora y cómica que verás de “Los Dioses”,https://www.youtube.com/watch?v=wb9dE1BQiEo&list=RDCMUCBfg3Yc_8iIJ0e0MeMKg2Bw&index=7
119,"“Si fueras venezolano tendrías que enfrentarte con la justicia"": la amenaza de Maduro a Jorge Ramos",https://www.youtube.com/watch?v=wYyI_m0-yUM
120,¿Cómo armar la mochila de emergencia?,https://www.youtube.com/watch?v=fBDFj85QXa8
121,Alejandro Toledo: “Están tratando de obstaculizar mi candidatura presidencial”,https://www.youtube.com/watch?v=w9kNsPyC6Hc
122,CASO TOLEDO: Josef Maiman y sus nuevas revelaciones con el abogado José Allemant,https://www.youtube.com/watch?v=7c0YMl8yoWU
123,EL SOCIALISMO es INVIABLE - Axel Kaiser,https://www.youtube.com/watch?v=GhUA2hKahiQ
124,"Axel Kaiser desmonta el socialismo de Pedro Sánchez y el marxismo comunista: ""Es un fraude""",https://www.youtube.com/watch?v=hZVzCJ7IeV0
125,"""Agresión mágica"" La esencia del derecho consuetudinario mapuche",https://www.youtube.com/watch?v=b95rquYjo_I
126,Pepe Auth: La batalla se ve hoy irremontable para el apruebo,https://www.youtube.com/watch?v=W_5uisVSnqQ
127,"""17% de los que dicen haber votado por Boric está marcando Rechazo"" #shorts",https://www.youtube.com/watch?v=zWHLU1391I0
128,La joven que satiriza al Gobierno en Tik Tok: “El populismo es la fuente de todos los problemas”,https://www.youtube.com/watch?v=wkbgJ8y2nhs
129,El Pase de Eduardo Feinmann y Jorge Lanata: “¿Es prohibido nuestro amor?”,https://www.youtube.com/watch?v=l0OBxkzQpUA
130,"Eduardo Bolsonaro: ""Argentina está en camino a ser Venezuela""",https://www.youtube.com/watch?v=0OKIxvzktOU
131,"""LOS VICIOS NO SON DELITOS”: Javier Milei en A DOS VOCES",https://www.youtube.com/watch?v=giEcsRDosKM
132,VALLEJOS VS MILEI en A DOS VOCES,https://www.youtube.com/watch?v=xNrqRX-uY4g
133,El Poder de la Tecnología. Riesgos y Beneficios. | José Moreno | TEDxUNebrija,https://www.youtube.com/watch?v=9tjggczw96Q
134,Cómo nos manipulan en las redes sociales | Santiago Bilinkis | TEDxRiodelaPlata,https://www.youtube.com/watch?v=8nKCA9h-7BA
135,El poder de una conversación: Álvaro González-Alorda at TEDxPuraVida 2013,https://www.youtube.com/watch?v=aQ-IeBfQwGM
136,Sólo cambié mi actitud y todo cambió | Juan Bautista Segonds | TEDxSanIsidro,https://www.youtube.com/watch?v=Fm_M5rej3eU
137,Emprender es fácil si pasas a la acción | Luis Ramos | TEDxTecdeMtyPuebla,https://www.youtube.com/watch?v=NjFCVb0f2Vk
138,Salario Emocional | Jaime Leal | TEDxTecdeMtyPuebla,https://www.youtube.com/watch?v=gZBRfVkNs1Q
139,"La meditación, el éxito de ser uno mismo | Antonio Jorge Larruy | TEDxAndorraLaVella",https://www.youtube.com/watch?v=YkqJI7rD3EQ
140,Cómo activar la magia de tu cuarto cerebro para ser feliz? | Jaime Jaramillo | TEDxUniversidadPiloto,https://www.youtube.com/watch?v=j5vopNyhGrw
141,"La discapacidad no existe, existe la diversidad | Richard Mateos | TEDxUMSA",https://www.youtube.com/watch?v=MtwK8YBWvvM
142,Mi historia con las Tetas grandes | Angeline Moncayo | TEDxCaliWomen,https://www.youtube.com/watch?v=56RkJbGjUWo
143,¿Quién soy?: ¿Qué significa hacernos esta pregunta? | Gabriel Pereyra | TEDxTukuy,https://www.youtube.com/watch?v=9l0lJ_7N_Vc
144,FILOSOFÍA DE SÓCRATES - EL PROPÓSITO DE LA VIDA - FILOSOFÍA GRIEGA,https://www.youtube.com/watch?v=g6BzypogtIg
145,Filosofía de KANT - EXPLICADO CON MANZANAS - Crítica de la razón Pura,https://www.youtube.com/watch?v=Y250MsHwRTA
146,SPINOZA - EL FILÓSOFO MALDITO - RACIONALISMO - FILOSOFÍA MODERNA,https://www.youtube.com/watch?v=sNxMWJca5l8&list=RDCMUCVflB5V9W7qWWZnwelyOZ3g&index=2
147,SANTO TOMÁS DE AQUINO - FILOSOFÍA CRISTIANA,https://www.youtube.com/watch?v=RuPPqEPlKOI&list=RDCMUCVflB5V9W7qWWZnwelyOZ3g&index=3
148,"DAVID HUME - EL MÁS ESCÉPTICO - FILOSOFÍA - Empirismo, escepticismo y agnosticismo.",https://www.youtube.com/watch?v=ST45Ezh_yoE
149,AIDA CORTES - REVELA LOS SECRETOS MÁS INTIMOS DE SU VIDA,https://www.youtube.com/watch?v=jrYOyvlxWfE
150,Exclusiva | Viuda de Pablo Escobar habla sobre el líder del Cártel de Medellín,https://www.youtube.com/watch?v=YXaGNNHu65M
151,Exclusiva | Viuda de Pablo Escobar habla sobre el líder del Cártel de Medellín | Parte 2,https://www.youtube.com/watch?v=4JA0ev9uj2g
152,"“Si El Chapo toca un celular, está muerto”: Popeye",https://www.youtube.com/watch?v=pAV4UWtoSB0
153,Caso Jhonier Leal: así es la mente de un criminal | Semana Noticias,https://www.youtube.com/watch?v=GSOH0y1qEEQ
154,"Elmer Montaña, abogado de las víctimas, entrega detalles del caso de Mauricio Leal",https://www.youtube.com/watch?v=6MSkzhvn7Do
155,Las principales recomendaciones de la ONU al gobierno de Gustavo Petro,https://www.youtube.com/watch?v=sxy-8FX34GI
156,Arturo Calle plantó su posición sobre el gobierno de Gustavo Petro: “No es el momento de huir,https://www.youtube.com/watch?v=gZW5s9sj3Lg
157,Así deja las finanzas el Gobierno de Iván Duque: habla MinHacienda,https://www.youtube.com/watch?v=TT9NUQ_w96I
158,Este sería el posible gabinete de Gustavo Petro,https://www.youtube.com/watch?v=dNAgTYOimI8
159,"La necropsia del exfutbolista Freddy Rincón, Medicina Legal explica el informe forense",https://www.youtube.com/watch?v=EIlLwIXKIJI
160,IMPORTANCIA DE LA HISTORIA DE LA MEDICINA EDGARDO RAFAEL MALASPINA GUERRA,https://www.youtube.com/watch?v=m5OmTaHSH-A
161,Roberto Hernández Sampieri - La importancia de la investigación,https://www.youtube.com/watch?v=Q2QjEBWdu4Q
162,Ralph Waldo Emerson - Confianza en uno Mismo (Audiolibro Completo en Español) [Voz Real Humana],https://www.youtube.com/watch?v=vg-zdmlDo3k
163,William Walker Atkinson - La Ley de la Atracción (Audiolibro Completo en Español) [Voz Real Humana],https://www.youtube.com/watch?v=AWl-llTZs1M&list=RDCMUCjgHGAoDMD0ERDJctpem1vA&index=3
164,"Séneca - De la Brevedad de la Vida (Audiolibro Completo en Español) ""Voz Real Humana""",https://www.youtube.com/watch?v=KJPcQ7ZEULg&list=RDCMUCjgHGAoDMD0ERDJctpem1vA&index=5
165,"Siddharta Gautama Buda - Los 53 Sutras de Buda (Audiolibro Completo en Español) ""Voz Real Humana""",https://www.youtube.com/watch?v=NJ0FkMyv1fw&list=RDCMUCjgHGAoDMD0ERDJctpem1vA&index=11
166,Séneca - Sobre la Felicidad (Audiolibro Completo en Español) [Voz Real Humana],https://www.youtube.com/watch?v=MicWz5mpyKU&list=RDCMUCjgHGAoDMD0ERDJctpem1vA&index=13
167,COMO SE CAMBIA EL CARACTER,https://www.youtube.com/watch?v=F0FsaUjshsQ
168,El Caballero De La Armadura Oxidada - Audiolibro,https://www.youtube.com/watch?v=fiEfuaYgeJU
169,"Los esenios, la comunidad de Qumrán y las sectas en el judaísmo | Adolfo Roitman",https://www.youtube.com/watch?v=HER677ic7Bc
170,Conferencia ¿Cómo se escribió la Biblia Hebrea? Dr. Adolfo Roitman,https://www.youtube.com/watch?v=Wmvtzpag72s
171,"El Contrato Social de Rousseau FÁCIL (El origen de la desigualdad, voluntad general, ley y gobierno)",https://www.youtube.com/watch?v=OrGSx1z4bog
172,El mundo como voluntad y representación de Schopenhauer FÁCIL (Explicación y conceptos),https://www.youtube.com/watch?v=u-0f5Oj9hQ8
173,"Comer de todo no es bueno para la salud. Julio Basulto, dietista-nutricionista",https://www.youtube.com/watch?v=LSVCFKWxvcA
174,Mejor Audio libro de superación personal,https://www.youtube.com/watch?v=GII23mhpMKQ
175,EL LIBRITO AZUL AUDIOLIBRO COMPLETO EN ESPAÑOL - CONNY MENDEZ - AUDIOLIBROS DE METAFÍSICA,https://www.youtube.com/watch?v=bckGftB5YQI&list=RDLVGII23mhpMKQ&index=10
176,ESTOICISMO - FILOSOFÍA para LA BUENA VIDA - MANUAL DE VIDA y SABIDURÍA - De Epicteto AUDIOLIBRO,https://www.youtube.com/watch?v=5FQG7Ilws1I&list=RDLVGII23mhpMKQ&index=12
177,Como Atraer Dinero,https://www.youtube.com/watch?v=6dYWCR0IHwI&list=RDLVGII23mhpMKQ&index=13
178,METAFÍSICA PARA LA VIDA DIARIA AUDIOLIBRO COMPLETO EN ESPAÑOL - SAINT GERMAIN - VOZ HUMANA,https://www.youtube.com/watch?v=FqC1qqtqlPo&list=RDLVGII23mhpMKQ&index=24
179,LA CONFIANZA EN UNO MISMO Ralph Waldo Emerson AUDIOLIBRO (Español),https://www.youtube.com/watch?v=91xdeSU0_vg&list=RDLVGII23mhpMKQ&index=7
180,Este Audio Cambiara el Concepto que Tienes de ti Mismo - Por Byron Katie,https://www.youtube.com/watch?v=GC0hGLPVp0M
181,Si lo crees lo creas - Brian Tracy - Capítulo 1 [AUDIO LIBRO],https://www.youtube.com/watch?v=opbG7Y3K_Jk
182,Leyendo con Norita: Ruido - Daniel Kahneman,https://www.youtube.com/watch?v=pqFLThi7tG8
183,ANDRÉS OPPENHEIMER | El futuro del trabajo y su más reciente libro “Sálvese quien pueda”,https://www.youtube.com/watch?v=jFs5fSCXBrc
184,Una conversación sobre la evolución y la reinvención - Álex Rovira,https://www.youtube.com/watch?v=HvN1AULq9JY
185,🎙Los 4 Poderes que Transformarán tu vida,https://www.youtube.com/watch?v=opwKzCXHsF0
186,LO INCONSCIENTE AUDIOLIBRO COMPLETO EN ESPAÑOL - SIGMUND FREUD - AUDIOLIBROS DE PSICOLOGÍA,https://www.youtube.com/watch?v=sO4guHRX9FY
187,¿CUÁL ES MI LLAMADO?,https://www.youtube.com/watch?v=Zg0LFgMIVUI
188,Episodio 14 Desde el Garaje,https://www.youtube.com/watch?v=5WZwyhgSqbo
189,El Millonario de al Lado - Un Resumen de Libros para Emprendedores,https://www.youtube.com/watch?v=o_7_Q4UxQP4
190,La Vaca Púrpura - Un Resumen de Libros para Emprendedores,https://www.youtube.com/watch?v=BsHv42iSpzg
191,La Venganza,https://www.youtube.com/watch?v=pSrj0-MJjNA
192,¿Por qué Dios nos habla? | Pastor Jaime Ruiz R.,https://www.youtube.com/watch?v=GQt-eNWFawY
193,VOLUNTAD DE HIERRO AUDIOLIBRO COMPLETO EN ESPAÑOL - ORISON SWETT MARDEN - AUDIOLIBROS DE METAFISICA,https://www.youtube.com/watch?v=EkaZeiaZMJo
194,"Una ""Niña"" Cristiana | Testimonio Impactante | Conversatorio",https://www.youtube.com/watch?v=hotIksU4jeY
195,Harry Potter 2 y La Camara Secreta Audiolibro Completo,https://youtu.be/BtHJ_tIaKP4
196,Psiquiatra habla del efecto del móvil en el cerebro - El mejor vídeo que verás al respecto.,https://youtu.be/2bg74kECJLo
197,Harry Potter Audiolibro 3 y El Prisionero de Azkaban Completo,https://youtu.be/oBXpmyMarFg
198,harry potter y el prisionero de azkaban audiolibro con reparto neural. capítulo 21,https://youtu.be/Qcd62vNGCjA
199,"Harry Potter y la piedra filosofal, Capítulo 5 (Audiolibro)",https://youtu.be/ReLT_q1Ffpw
200,"Harry Potter, capítulo 1 - audiolibro español B1 (subtítulos)",https://youtu.be/CLrrP__6bkM
201,"Harry Potter y la piedra filosofal, capítulo 2 (Audiolibro)",https://youtu.be/hHjDIVIpHcc
202,La nueva agenda del directivo el efecto de la tecnología y las redes sociales (XX Congreso CEDE),https://www.youtube.com/watch?v=VWkSMHoK-Ns
203,¿Cómo sería tu vida con una confianza inquebrantable?,https://www.youtube.com/watch?v=8j0nX1Z9wNk
204,EL AUDIOLIBRO MAS COMPLETO DE PSICOLOGIA,https://www.youtube.com/watch?v=unsuUAGDXO8
205,[Clase 1] Psicología: Definición e Historia,https://www.youtube.com/watch?v=ZP79MLqh9xI
206,PsicoLoca: Historia de la Psicología,https://www.youtube.com/watch?v=Pc3gCCkyFso
207,¿Cual es el papel del psicólogo en la sociedad?,https://www.youtube.com/watch?v=wpw8i08xF78
208,LIBRO DE ELECTRONICA AUTOMOTRIZ AUDIOLIBRO CURSO,https://www.youtube.com/watch?v=vbA9Rb7ljEw
209,EL QUINTO ACUERDO ( Mentoria Sabiduria Tolteca y Los 4 Acuerdos) Resumen de Lecturas Recomendadas,https://www.youtube.com/watch?v=6hXncnnHh4Q
210,LA FILOSOFÍA ESTOICA DE EPICTETO - ESTOICISMO,https://www.youtube.com/watch?v=LDxI9dKGMpg
211,PLATÓN - LA REPÚBLICA de PLATÓN - FILOSOFÍA GRIEGA,https://www.youtube.com/watch?v=PuAIy6CU7Kk
212,Los mejores libros para aprender electricidad,https://www.youtube.com/watch?v=GYb0dIOv7YM
213,"
👨‍🎓 ¿¿¿Qué FP estudiar??? ✅ 🥇 1000 razones para ESTUDIAR* FP*",https://www.youtube.com/watch?v=_6Czmf9dnAY
214,Práctico - Matriz de Análisis de Actores - VIDEO 2,https://www.youtube.com/watch?v=hHh6ujfI2zc
215,Cleopatra - audiolibro español B1 (subtítulos español e inglés),https://www.youtube.com/watch?v=Zd4cgtFrrx0
216,MANTENIMIENTO INDUSTRIAL,https://www.youtube.com/watch?v=HRPpsaMlQQY
217,Mantenimiento Predictivo en Inspecciones Eléctricas,https://www.youtube.com/watch?v=U6tnxKO0VKI
218,CAPITULO 7 - PLAN DE MANTENIMIENTO BASADO EN RCM,https://www.youtube.com/watch?v=qO-JR6UfKZs
219,Estructura del proceso penal (parte 1),https://www.youtube.com/watch?v=TG2sep74BVs
220,Primera Lección Virtual Derecho Constitucional General,https://www.youtube.com/watch?v=LLyYeh_E7mo
221,DERECHO CIVIL PRIMERA PARTE - 1/5,https://www.youtube.com/watch?v=yL1sGk2OKLw
222,DERECHO CIVIL SEGUNDA PARTE - 2/5,https://www.youtube.com/watch?v=91spI_1whHM
223,DERECHO CIVIL CUARTA PARTE - 4/5,https://www.youtube.com/watch?v=LIv_wbSsS6w
224,Jorgelina Guillisasti - Petición de herencia,https://www.youtube.com/watch?v=6ClRplt2MQc
